alpha,perturb_target,layer_spec,num_examples,kl_p_to_q,kl_q_to_p,js,tv,accept_mass,top1_match,top5_overlap,draft_prob_on_target_top1,target_prob_on_target_top1,gen_exact_match,gen_prefix_match_len
0.03,keys,layer_1,32,0.0008182830119949358,0.000806733849600505,0.000202919396780743,0.010309718522421463,0.9896905031055212,1.0,1.0,0.6280882770661265,0.6265926496125758,0.84375,14.9375
0.1,keys,layer_1,32,0.0031578831895444637,0.003189222115679513,0.0007830615449790912,0.01716456180656678,0.982835628092289,1.0,0.9500000029802322,0.6263028774410486,0.6265926496125758,0.75,14.34375
0.0,values,layer_1,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,values,layer_1,32,0.0006966769871468159,0.000695615982422737,0.00017395964945876585,0.010824006080838444,0.9891762118786573,1.0,0.9875000007450581,0.6281712295021862,0.6265926496125758,0.90625,15.3125
0.03,values,layer_1,32,0.0006550896944759188,0.0006503635596644131,0.0001631115129576699,0.010016395939544509,0.9899838361889124,1.0,0.9875000007450581,0.627710817148909,0.6265926496125758,0.8125,14.625
0.1,values,layer_1,32,0.0007763079784126603,0.0007717017095387746,0.0001933971674645818,0.010863600997026879,0.9891366418451071,1.0,0.993750000372529,0.6281790295615792,0.6265926496125758,0.78125,14.625
0.0,keys,layer_10,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,keys,layer_10,32,0.000440505613340747,0.0004363196374299605,0.00010954990509759455,0.006861894740154639,0.9931383486837149,1.0,0.993750000372529,0.6290376135148108,0.6265926496125758,0.78125,14.59375
0.03,keys,layer_10,32,0.0005995481147351711,0.0005985072783687428,0.0001497043586766722,0.009095580983398577,0.9909046292304993,1.0,0.9875000007450581,0.6257567689754069,0.6265926496125758,0.875,15.34375
0.1,keys,layer_10,32,0.0011272110039044492,0.0011372077877922493,0.00028265578211517095,0.012373486526485067,0.9876267239451408,1.0,0.993750000372529,0.6234199858736247,0.6265926496125758,0.84375,15.21875
0.0,values,layer_10,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,values,layer_10,32,0.0005180373316875375,0.0005164973280216145,0.00012925545406261563,0.008434009774191509,0.9915661960840225,1.0,0.9812500011175871,0.627858083229512,0.6265926496125758,0.90625,15.625
0.03,values,layer_10,32,0.0005888344054199024,0.0005862777381366868,0.00014682925824516246,0.009174472375661935,0.9908257462084293,1.0,0.9875000007450581,0.6272977194748819,0.6265926496125758,0.9375,15.53125
0.1,values,layer_10,32,0.0007794781977281673,0.0007768888778798555,0.0001944483342342096,0.010918893887264858,0.9890813287347555,1.0,0.993750000372529,0.6281393319368362,0.6265926496125758,0.8125,14.625
0.0,keys,layer_11,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,keys,layer_11,32,0.0004854169282566545,0.00048130974272453386,0.00012078311804231134,0.0077139399504631,0.9922862723469734,1.0,0.993750000372529,0.6286243593785912,0.6265926496125758,0.875,14.90625
0.03,keys,layer_11,32,0.0006503100804593487,0.000648374906859317,0.0001622596089561057,0.010348685833378113,0.9896515421569347,1.0,0.993750000372529,0.6276684945914894,0.6265926496125758,0.90625,15.5
0.1,keys,layer_11,32,0.0008167808007613075,0.0008128275009653407,0.00020358143858345557,0.011188831931576715,0.9888113755732775,1.0,0.9750000014901161,0.629084462299943,0.6265926496125758,0.8125,14.375
0.0,values,layer_11,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,values,layer_11,32,0.0005253648867835636,0.000525899967527721,0.00013134736084907672,0.007861179397536944,0.992139033973217,1.0,0.9875000007450581,0.626440322957933,0.6265926496125758,0.8125,14.96875
0.03,values,layer_11,32,0.000530098146043656,0.0005309931837942372,0.00013257958058154884,0.008400036127682142,0.9916001763194799,1.0,0.9875000007450581,0.6272470662370324,0.6265926496125758,0.78125,14.78125
0.1,values,layer_11,32,0.0005421002036030131,0.0005401441727030942,0.0001352300223658176,0.008267264378218897,0.9917329456657171,1.0,0.9875000007450581,0.6275664316490293,0.6265926496125758,0.8125,14.96875
0.0,keys,layer_12,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
