pair,pair_label,run,context,dataset,seed,config,config_label,num_prompts,accept_rate,accept_ci_low,accept_ci_high,acceptance_retained,accepted_per_round,top1_match,round_js,accept_mass,draft_cache_saved_fraction,total_cache_saved_fraction,exact_match,tie_consistent_mismatches,non_tie_mismatches,unknown_mismatches,valid_exact_generation,summary_path
olmo2_7b_1b,OLMo-2 7B/1B,c4_ctx1024_seed2,1024,allenai/c4,2,none,BF16,16,0.5089285714285714,0.4186605263157895,0.6169616653395517,1.0,2.0274305555555556,0.7925347222222222,0.05293748510011938,0.7904532557042936,0.0,0.0,0.9375,1,0,0,True,outputs/iclr_spec_kv/olmo2_7b_1b/c4_ctx1024_seed2/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,c4_ctx1024_seed2,1024,allenai/c4,2,k8v4,K8 V4,16,0.55,0.45179063360881544,0.6678986373112317,1.0807017543859652,2.177579365079365,0.8100198412698413,0.05639297306544673,0.7846771876859878,0.6171875,0.1234375,0.9375,1,0,0,True,outputs/iclr_spec_kv/olmo2_7b_1b/c4_ctx1024_seed2/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,c4_ctx1024_seed2,1024,allenai/c4,2,k4v8,K4 V8,16,0.47592067988668557,0.3759213759213759,0.593460453480945,0.935142388549277,1.9526041666666667,0.7626736111111111,0.06057194247493195,0.7753818536384238,0.6171875,0.1234375,0.9375,1,0,0,True,outputs/iclr_spec_kv/olmo2_7b_1b/c4_ctx1024_seed2/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,wikitext_ctx1024,1024,wikitext,0,none,BF16,32,0.43007915567282323,0.37273468671708265,0.49206406303528605,1.0,1.726984126984127,0.6936259920634921,0.10108495878997105,0.7215335320211976,0.0,0.0,0.875,1,3,0,False,outputs/iclr_spec_kv/olmo2_7b_1b/wikitext_ctx1024/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,wikitext_ctx1024,1024,wikitext,0,k8v8,K8 V8,32,0.4287598944591029,0.36867315979245446,0.4934502570017936,0.9969325153374232,1.7225198412698413,0.6891617063492064,0.10158002332855826,0.7198635334647926,0.4921875,0.0984375,0.875,1,3,0,False,outputs/iclr_spec_kv/olmo2_7b_1b/wikitext_ctx1024/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,wikitext_ctx1024,1024,wikitext,0,k8v4,K8 V4,32,0.42782152230971127,0.3645081094887404,0.49927849927849927,0.994750656167979,1.7421999007936508,0.6970858134920634,0.09929156089263502,0.725717968053724,0.6171875,0.1234375,0.875,1,3,0,False,outputs/iclr_spec_kv/olmo2_7b_1b/wikitext_ctx1024/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,wikitext_ctx1024,1024,wikitext,0,k4v8,K4 V8,32,0.4296977660972405,0.3696969696969697,0.4957142857142857,0.9991132107414364,1.7474578373015872,0.7176091269841269,0.10089664742305132,0.7257491821959053,0.6171875,0.1234375,0.875,1,3,0,False,outputs/iclr_spec_kv/olmo2_7b_1b/wikitext_ctx1024/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,wikitext_ctx1024,1024,wikitext,0,k4v4,K4 V4,32,0.42800528401585203,0.3617712358799049,0.5072886297376094,0.995177930319067,1.7504712301587302,0.7069196428571428,0.10347680984151657,0.7220713972879041,0.7421875,0.1484375,0.90625,1,2,0,False,outputs/iclr_spec_kv/olmo2_7b_1b/wikitext_ctx1024/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,wikitext_ctx4096,4096,wikitext,0,none,BF16,12,0.48854961832061067,0.4013605442176871,0.5938864628820961,1.0,1.9406415343915342,0.7465939153439153,0.08206121931471566,0.771155791360609,0.0,0.0,1.0,0,0,0,True,outputs/iclr_spec_kv/olmo2_7b_1b/wikitext_ctx4096/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,wikitext_ctx4096,4096,wikitext,0,k8v8,K8 V8,12,0.5118110236220472,0.4146341463414634,0.6311287878787876,1.047613188976378,2.0586970899470898,0.7743716931216932,0.08212499767633893,0.772820128343886,0.4921875,0.0984375,0.9166666666666666,0,1,0,False,outputs/iclr_spec_kv/olmo2_7b_1b/wikitext_ctx4096/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,wikitext_ctx4096,4096,wikitext,0,k8v4,K8 V4,12,0.5362903225806451,0.43157894736842106,0.6666666666666666,1.097719254032258,2.1535383597883597,0.8301256613756615,0.07761837027680711,0.7820382006993646,0.6171875,0.1234375,0.9166666666666666,0,1,0,False,outputs/iclr_spec_kv/olmo2_7b_1b/wikitext_ctx4096/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,wikitext_ctx4096,4096,wikitext,0,k4v8,K4 V8,12,0.5078125,0.44727272727272727,0.5780590717299579,1.0394287109375,1.9114087301587304,0.7616071428571428,0.08252419984097027,0.7604222883632968,0.6171875,0.1234375,0.9166666666666666,0,1,0,False,outputs/iclr_spec_kv/olmo2_7b_1b/wikitext_ctx4096/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,wikitext_ctx4096,4096,wikitext,0,k4v4,K4 V4,12,0.5301204819277109,0.4377224199288256,0.6380090497737556,1.0850903614457832,2.054232804232804,0.7919312169312169,0.07734823510335921,0.7712447080544379,0.7421875,0.1484375,0.9166666666666666,0,1,0,False,outputs/iclr_spec_kv/olmo2_7b_1b/wikitext_ctx4096/summary.json
